what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.8.0_65",1445917973178
java.vm.info,sysinfo,,,"mixed mode",1445917973178
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1445917973178
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1445917973178
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1445917973178
java.vm.specification.version,sysinfo,,,"1.8",1445917973178
java.vm.vendor,sysinfo,,,"Oracle Corporation",1445917973178
java.vm.version,sysinfo,,,"25.65-b01",1445917973178
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1445917973429
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1445917973570
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1445917973602
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1445917973640
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1445917973740
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1445917973752
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1445917973871
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1445917973888
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1445917973985
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1445917974127
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1445917974150
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1445918131888
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1445918132443
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445918132480
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445918132641
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445918136507
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1445918139867
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1445918140725
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445918146515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918148235
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918148964
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1445918150095
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1445918153794
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1445918153818
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1445918154981
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918184057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918311602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918313585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918316793
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445918318984
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1445918325308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918325834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918325867
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1445918332212
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1445918333349
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1445918359976
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1445918360456
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1445918365194
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1445918365204
